0,1,2,3,4,5,6,7,8,9,10
Özel Değişkenler,Special Variables,"Liste (Özel Değişkenler)1.13.3. Özel Değişken Belge Tanımı listesinde ""Belge Tipi""=""Alacak Çekleri Giriş"" olan değişkenler listelenir.Bu bölümde yetkisi olan kullanıcı ""1.13.3. Özel Değişken Belge Tanımı"" ekranına yönlendirilerek ekleme ve düzenleme yapabilir.",,,1.13.3. Özel Değişken Belge Tanımı' dan gelen değişkenin zorunluluk durumuna göre karar verilir,,Filtrelenebilir,,Evet,Genel Bilgiler
Ekli Belgeler,Attachments,"Binary List (jpg, png, pdf)",,,Opsiyonel,,,,,Ekli Belgeler
Belge,Attachment,"Binary (jpg, png, pdf)Yüklenen Dosya",,,Ekli Belgeler içinde Zorunlu,,,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Ekli Belgeler
Belge Adı,Doc Name,Alfenumerik String,,Yüklenen dosya ismini alır,Ekli Belgeler içinde Zorunlu,,,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Ekli Belgeler
Belge Açıklaması,Doc Description,Alfenumerik String,max 255,,Opsiyonel,,,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Ekli Belgeler
Ekleyen Kullanıcı,User,Kullanıcı,,Giriş yapan kullanıcı bilgisi sistem tarafından getirilir,Ekli Belgeler içinde Zorunlu,,,"""Alfabetik"" veya ""Ters-Alfabetik""",Hayır,Ekli Belgeler
Ekleme Tarihi,Attached Date,Date (GG/AA/YYYY),,Kayıt tarihi sistem tarafından otomatik olarak getirilir,Ekli Belgeler içinde Zorunlu,,,"""Artan"" veya ""Azalan""",Hayır,Ekli Belgeler
Detay Bilgiler,Detail Info,Liste,,,,,,,,Detay Bilgiler
Çek No,Check Nr,Alfanumerik,min1- max15,,Zorunlu,Tekil,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Detay Bilgiler
Çek Türü,Check Type,Enum Değer ListesiNormalTeminat,,Normal,Zorunlu,-,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Detay Bilgiler
Alınış Tarihi,Date,Date,,Öndeğer olarak sistemdeki Genel Bilgiler alanındaki Tarih Bilgisi getirilir.,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgiler
Vade Tarihi,Due Date,Date,,,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgiler
Çekin Borçlusu,Debtor of a Check,Alfanumerik String,50,,Opsiyonel,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgiler
Tutar,Amount,Numerik(virgülden sonra iki digit),,,Zorunlu,,Filtrelenebilir,,Evet,Detay Bilgiler
Banka Adı,Bank Name,Alfanumerik String,50,,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgiler
Banka İl,Bank City,Ülke = Türkiye için geçerli illerden seçim yapılmalıdır.,,,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgiler
Banka Şube,Bank Branch,Alfanumerik String,50,,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgiler
Hesap Numarası/IBAN,Account Number/IBAN,Alfanumerik String,max 50,,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Detay Bilgileri
Hareket Açıklama,Movement Description,String,max 255,Genel Bilgiler alanında girillen Hareket Belge Açıklama verisi getirilir kullanıcı bu alanda değişiklik yapabilir.,Opsiyonel,-,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Detay Bilgiler
Avans,,Boolean (Evet/Hayır),,Hayır,Zorunlu,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Detay Bilgiler
Sipariş Belge No,Order Doc No,Detay Kart Kod - Ad alanında seçilen kartlar4.1.1 Müşteri Kartları ise Müşteriye ait Satış Siparişlerinden seçim yapılabilir.4.1.3 Tedarikçi Kartları ise Tedarikçiye ait Satınalma Siparişlerinden seçim yapılabilir.,,,Opsiyonel,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Detay Bilgiler
Durumu,Status,Enum Değer listesinden işleme göre sistem tarafından getirilir.Portföye Giriş,,"İlk girişte bu alana ""Portföye Giriş"" değeri getirilmelidir.Bu alan link şeklinde gösterilmeli ve ""Portföye Giriş"" dışında bir durum var ise en son belgeye ulaşması sağlanmalıdır.",Zorunlu - Readonly,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Detay Bilgiler
Finans Hareketleri Özel Değişkenleri,Financial Transactions Special Variables,"Liste (Özel Değişkenler)1.13.4. Özel Değişken Hareket Tanımı listesinde ""Hareket Türü"" = ""Finans Hareketleri"" olan değişkenler listelenir.",,,1.13.4. Özel Değişken Hareket Tanımı 'dan gelen değişkenin zorunluluk durumuna göre karar verilir,,Filtrelenebilir,,Evet,Detay Bilgiler
